Staat_ID;Industry_ID;2016:Q3;Industrie_Umsatz_Anteil
13;81;19082;2%
13;64;17474;2%
13;10;14290;2%
13;69;10980;1%
13;75;8513;1%
13;3;4623;1%
13;6;2842;0%
14;12;102760;30%
14;13;53091;15%
14;25;49669;14%
14;56;33342;10%
14;82;31184;9%
14;70;27351;8%
14;35;20888;6%
14;51;18796;5%
14;34;18592;5%
14;60;13956;4%
14;11;13189;4%
14;36;11470;3%
14;65;10072;3%
14;78;8346;2%
14;81;7914;2%
14;45;6201;2%
14;10;5259;2%
14;3;5133;1%
14;64;4740;1%
14;75;4165;1%
14;69;3153;1%
14;6;1534;0%
15;12;32704;19%
15;51;21027;12%
15;82;20850;12%
15;56;17815;10%
15;25;16358;9%
15;13;16346;9%
15;70;12384;7%
15;34;10075;6%
15;35;9654;6%
15;11;9008;5%
15;60;5847;3%
15;36;5829;3%
15;3;5810;3%
15;78;4158;2%
15;45;4064;2%
15;81;3931;2%
15;65;3683;2%
15;10;2557;1%
15;64;2510;1%
15;69;1437;1%
15;75;1282;1%
15;6;356;0%
16;12;20745;14%
16;82;20538;13%
16;56;17277;11%
16;70;11871;8%
16;13;11188;7%
16;34;10410;7%
16;35;10038;7%
16;25;9557;6%
16;51;8964;6%
16;60;8248;5%
16;3;6542;4%
16;11;6332;4%
16;45;5934;4%
16;36;5340;3%
16;65;5043;3%
16;78;3949;3%
16;64;3424;2%
16;81;3208;2%
16;10;2558;2%
16;6;1218;1%
16;75;932;1%
16;69;926;1%
17;12;37781;19%
17;82;27619;14%
17;56;21043;11%
17;13;20808;11%
17;25;16974;9%
17;70;16308;8%
17;34;13157;7%
17;35;11810;6%
17;51;10325;5%
17;36;9708;5%
17;11;8308;4%
17;60;7966;4%
17;78;6281;3%
17;65;6131;3%
17;81;4331;2%
17;45;4106;2%
17;64;3001;2%
17;10;2843;1%
17;6;2097;1%
17;3;1781;1%
17;69;1146;1%
17;75;958;0%
18;12;52333;22%
18;25;45182;19%
18;82;26147;11%
18;56;22648;9%
18;70;17468;7%
18;35;15693;7%
18;11;13083;5%
18;34;12186;5%
18;60;11650;5%
18;6;10278;4%
18;36;9838;4%
18;51;8766;4%
18;78;8378;4%
18;13;7151;3%
18;65;6500;3%
18;45;5818;2%
18;81;5502;2%
18;10;3706;2%
18;64;2714;1%
18;75;2410;1%
18;3;2077;1%
18;69;2072;1%
19;56;9199;15%
19;82;8373;14%
19;70;7061;12%
19;12;5511;9%
19;35;4959;8%
19;51;3432;6%
19;34;3291;5%
19;60;3128;5%
19;13;3010;5%
19;25;2502;4%
19;78;2354;4%
19;11;2286;4%
19;65;1959;3%
19;81;1395;2%
19;36;1317;2%
19;45;1134;2%
19;64;1059;2%
19;10;999;2%
19;3;984;2%
19;69;851;1%
19;75;604;1%
19;6;29;0%
20;82;77610;21%
20;56;61328;16%
20;60;37232;10%
20;70;28210;8%
20;51;23197;6%
20;12;20056;5%
20;35;19966;5%
20;11;17575;5%
20;34;16014;4%
20;45;14388;4%
20;65;12356;3%
