STAAT_ID;STAAT_NAME;STAAT_KENNUNG;STAAT_DETAIL;HAUPTSTADT;FLAECHE;EINWOHNER;BEVOELK_DICHTE;FLAGGE;INDUSTRIE_UMSATZ_INSG;PRO_KOPF_EINKOMMEN;ARBEITSLOSENRATE;ANTEIL_WEISSE;ANTEIL_HISPANIC_LATINOS;ANTEIL_SCHWARZ;ANTEIL_ASIATISCH;MIXED_RACES;STAERKSTE_PARTEI_ID;DEMOCRATS_VOTES_NUMBERS;DEMOCRATS_VOTES_PERCENT;REPUBLICAN_VOTES_NUMBERS;REPUBLICAN_VOTES_PERCENT
37;Oregon;OR;Detailpage/or.php;Salem;254799;3831074;15;Assets/or.png;231508;45436;3.8;74;15;2;4;4;1;991.58;50.1;774.08;39.11
38;Pennsylvania;PA;Detailpage/pa.php;Harrisburg;119280;12702379;106;Assets/pa.png;723753;52242;4.8;76;8;10;4;2;2;2926025;47.86;2970146;48.58
39;RhodeIsland;RI;Detailpage/ri.php;Providence;4001;1052567;263;Assets/ri.png;57815;52267;4.3;72;15;7;4;0;1;227062;53.83;166454;39.46
40;South Carolina;SC;Detailpage/sc.php;Columbia;82933;4625364;56;Assets/sc.png;211298;39879;4.4;64;5;27;2;1;2;855373;40.67;1155389;54.94
41;South Dakota;SD;Detailpage/sd.php;Pierre;199729;814180;4;Assets/sd.png;47722;48461;2.8;83;4;2;0;2;2;117442;31.74;227701;61.53
42;Tennessee;TN;Detailpage/tn.php;Nashville;109153;6346105;58;Assets/tn.png;330072;43876;5.1;73;6;17;2;2;2;868853;34.9;1519926;61.06
43;Texas;TX;Detailpage/tx.php;Austin;695662;25145561;36;Assets/tx.png;1654064;48035;5;44;37;12;5;1;2;3877868;43.24;4685047;52.23
44;Utah;UT;Detailpage/ut.php;Salt Lake City;219882;2763885;13;Assets/ut.png;156791;41320;3.1;81;13;1;2;0;2;310674;27.46;515211;45.54
45;Vermont;VT;Detailpage/vt.php;Montpelier;24906;625741;25;Assets/vt.png;31370;51011;3;94;1;1;1;2;1;178573;55.72;95369;29.76
46;Virginia;VA;Detailpage/va.php;Richmond;110787;8001024;72;Assets/va.png;496062;54420;3.8;62;10;19;6;2;1;1981473;49.75;1769443;44.43
47;Washington;WA;Detailpage/wa.php;Olympia;184661;6724540;36;Assets/wa.png;474732;54076;4.7;69;13;3;8;4;1;1742718;54.3;1221747;38.07
48;West Virginia;WV;Detailpage/wv.php;Charleston;62756;1852994;30;Assets/wv.png;73473;37869;4.9;93;1;3;0;2;2;188794;26.48;489371;68.63
49;Wisconsin;WI;Detailpage/wi.php;Madison;169635;5686986;34;Assets/wi.png;312110;47910;3.4;78;10;6;3;2;2;1381823;46.44;1404000;47.19
50;Wyoming;WY;Detailpage/wy.php;Cheyenne;253335;563626;2;Assets/wy.png;37641;55265;4.5;85;9;1;1;2;2;55973;21.9;174419;68.2
